entry_date,entry_spx,entry_vix,d5_spx,d5_vix,d5_drift,d5_pct,d5_date,d5_max_drift,d7_spx,d7_vix,d7_drift,d7_pct,d7_date,d7_max_drift,d10_spx,d10_vix,d10_drift,d10_pct,d10_date,d10_max_drift,d12_spx,d12_vix,d12_drift,d12_pct,d12_date,d12_max_drift,d14_spx,d14_vix,d14_drift,d14_pct,d14_date,d14_max_drift
2023-05-26,4205.45,17.95,4273.79,14.73,68.34000000000015,1.6250341818354788,2023-06-05,76.92000000000007,4267.52,13.94,62.07000000000062,1.475941932492376,2023-06-07,78.40000000000055,4338.93,15.01,133.48000000000047,3.173976625569213,2023-06-12,133.48000000000047,4372.59,13.88,167.14000000000033,3.974366595726981,2023-06-14,167.14000000000033,4409.59,13.54,204.14000000000033,4.854177317528453,2023-06-16,220.39000000000033
2023-06-02,4282.37,14.6,4298.86,13.83,16.48999999999978,0.3850671473973473,2023-06-09,16.48999999999978,4369.01,14.61,86.64000000000033,2.023178753820906,2023-06-13,86.64000000000033,4409.59,13.54,127.22000000000025,2.970784869126214,2023-06-16,143.47000000000025,4365.69,13.2,83.31999999999971,1.9456515901241533,2023-06-21,143.47000000000025,4348.33,13.44,65.96000000000004,1.5402685895894104,2023-06-23,143.47000000000025
2023-06-09,4298.86,13.83,4409.59,13.54,110.73000000000047,2.57579916536013,2023-06-16,126.98000000000047,4365.69,13.2,66.82999999999993,1.5545981958007458,2023-06-21,126.98000000000047,4328.82,14.25,29.960000000000036,0.6969289532573761,2023-06-26,126.98000000000047,4376.86,13.43,78.0,1.814434524501845,2023-06-28,126.98000000000047,4450.38,13.59,151.52000000000044,3.5246553737502606,2023-06-30,151.52000000000044
2023-06-16,4409.59,13.54,4328.82,14.25,80.77000000000044,1.8316895675108216,2023-06-26,80.77000000000044,4376.86,13.43,32.73000000000047,0.7422458777346753,2023-06-28,80.77000000000044,4455.59,13.57,46.0,1.043180885297726,2023-07-03,80.77000000000044,4411.59,15.44,2.0,0.04535569066511853,2023-07-06,80.77000000000044,4409.53,15.07,0.06000000000040018,0.001360670719962631,2023-07-10,80.77000000000044
2023-06-23,4348.33,13.44,4450.38,13.59,102.05000000000018,2.3468779968401705,2023-06-30,102.05000000000018,4446.82,14.18,98.48999999999978,2.26500748563241,2023-07-05,107.26000000000022,4409.53,15.07,61.19999999999982,1.407436878065828,2023-07-10,107.26000000000022,4472.16,13.54,123.82999999999993,2.8477599446224167,2023-07-12,123.82999999999993,4505.42,13.34,157.09000000000015,3.612651293715062,2023-07-14,161.71000000000004
2023-06-30,4450.38,13.59,4409.53,15.07,40.850000000000364,0.9178991456909379,2023-07-10,51.43000000000029,4472.16,13.54,21.779999999999745,0.48939641109297954,2023-07-12,51.43000000000029,4522.79,13.48,72.40999999999985,1.627052071957897,2023-07-17,72.40999999999985,4565.72,13.76,115.34000000000015,2.5916887996081264,2023-07-19,115.34000000000015,4536.34,13.6,85.96000000000004,1.9315204544331055,2023-07-21,115.34000000000015
2023-07-07,4398.95,14.83,4505.42,13.34,106.47000000000025,2.420350310869645,2023-07-14,111.09000000000015,4554.98,13.3,156.02999999999975,3.5469828027142785,2023-07-18,156.02999999999975,4536.34,13.6,137.39000000000033,3.1232453199058945,2023-07-21,166.77000000000044,4567.46,13.86,168.51000000000022,3.83068686845725,2023-07-25,168.51000000000022,4537.41,14.41,138.46000000000004,3.1475693063117345,2023-07-27,168.51000000000022
2023-07-14,4505.42,13.34,4536.34,13.6,30.920000000000073,0.6862845195342515,2023-07-21,60.30000000000018,4567.46,13.86,62.039999999999964,1.3770081368662626,2023-07-25,62.039999999999964,4582.23,13.33,76.80999999999949,1.7048355092310925,2023-07-28,76.80999999999949,4576.73,13.93,71.30999999999949,1.582760319792594,2023-08-01,83.53999999999996,4501.89,15.92,3.5299999999997453,0.07835007613052158,2023-08-03,83.53999999999996
2023-07-21,4536.34,13.6,4582.23,13.33,45.88999999999942,1.0116084773187066,2023-07-28,45.88999999999942,4576.73,13.93,40.38999999999942,0.8903653606211046,2023-08-01,52.61999999999989,4478.03,17.1,58.3100000000004,1.2853974790249496,2023-08-04,58.3100000000004,4499.38,15.99,36.960000000000036,0.8147537442078865,2023-08-08,58.3100000000004,4468.83,15.85,67.51000000000022,1.4882041469554799,2023-08-10,68.63000000000011
2023-07-28,4582.23,13.33,4478.03,17.1,104.19999999999982,2.2740019597444876,2023-08-04,104.19999999999982,4499.38,15.99,82.84999999999945,1.8080716157853154,2023-08-08,104.19999999999982,4464.05,14.84,118.17999999999938,2.579093585437645,2023-08-11,118.17999999999938,4437.86,16.46,144.3699999999999,3.150649356317773,2023-08-15,144.3699999999999,4370.36,17.89,211.8699999999999,4.623731240029416,2023-08-17,211.8699999999999
2023-08-04,4478.03,17.1,4464.05,14.84,13.979999999999563,0.3121908517807957,2023-08-11,40.409999999999854,4437.86,16.46,40.17000000000007,0.8970462457821871,2023-08-15,40.409999999999854,4369.71,17.3,108.31999999999971,2.4189208200927577,2023-08-18,108.31999999999971,4387.55,16.97,90.47999999999956,2.020531349722971,2023-08-22,108.31999999999971,4376.31,17.2,101.71999999999935,2.271534581054601,2023-08-24,108.31999999999971
2023-08-11,4464.05,14.84,4369.71,17.3,94.34000000000015,2.1133275836964223,2023-08-18,94.34000000000015,4387.55,16.97,76.5,1.713690482857495,2023-08-22,94.34000000000015,4405.71,15.68,58.340000000000146,1.3068850035281896,2023-08-25,94.34000000000015,4497.63,14.45,33.57999999999993,0.7522317178347,2023-08-29,94.34000000000015,4507.66,13.57,43.60999999999967,0.976915581142677,2023-08-31,94.34000000000015
2023-08-18,4369.71,17.3,4405.71,15.68,36.0,0.823853299189191,2023-08-25,66.30000000000018,4497.63,14.45,127.92000000000007,2.927425389785594,2023-08-29,127.92000000000007,4515.77,13.09,146.0600000000004,3.3425559133214886,2023-09-01,146.0600000000004,4465.48,14.45,95.76999999999953,2.191678623981901,2023-09-06,146.0600000000004,4457.49,13.84,87.77999999999975,2.0088289611896384,2023-09-08,146.0600000000004
2023-08-25,4405.71,15.68,4515.77,13.09,110.0600000000004,2.49812175563077,2023-09-01,110.0600000000004,4465.48,14.45,59.76999999999953,1.3566485311107523,2023-09-06,110.0600000000004,4487.46,13.8,81.75,1.8555465520880856,2023-09-11,110.0600000000004,4467.44,13.48,61.72999999999956,1.4011362527265654,2023-09-13,110.0600000000004,4450.32,13.79,44.60999999999967,1.0125496231027387,2023-09-15,110.0600000000004
2023-09-01,4515.77,13.09,4487.46,13.8,28.3100000000004,0.6269141253872629,2023-09-11,64.63000000000011,4467.44,13.48,48.33000000000084,1.070249370539262,2023-09-13,64.63000000000011,4453.53,14.0,62.24000000000069,1.3782810019110958,2023-09-18,65.45000000000073,4402.2,15.14,113.57000000000062,2.514964225370216,2023-09-20,113.57000000000062,4320.06,17.2,195.71000000000004,4.333923118316478,2023-09-22,195.71000000000004
2023-09-08,4457.49,13.84,4450.32,13.79,7.170000000000073,0.16085285665251237,2023-09-15,47.61000000000058,4443.95,14.11,13.539999999999964,0.30375839317642805,2023-09-19,47.61000000000058,4320.06,17.2,137.42999999999938,3.083125256590579,2023-09-22,137.42999999999938,4273.53,18.94,183.96000000000004,4.126986263569857,2023-09-26,183.96000000000004,4299.7,17.34,157.78999999999996,3.539884553863272,2023-09-28,183.96000000000004
